operationType,price,balance,date
BUY,40.595,13.765,2019-01-08
SELL,41.44,55.205,2019-01-10
BUY,41.6,13.604999999999997,2019-01-16
SELL,43.269999999999996,56.87499999999999,2019-01-18
BUY,44.65,12.224999999999994,2019-04-05
SELL,46.55,58.77499999999999,2019-04-18
BUY,36.94,21.834999999999994,2019-05-28
SELL,35.81999999999999,57.65499999999999,2019-05-30
BUY,38.635,19.01999999999999,2019-07-19
SELL,38.635,57.65499999999999,2019-07-19
BUY,39.695,17.959999999999987,2019-07-23
SELL,31.975,49.93499999999999,2019-08-26
BUY,32.075,17.859999999999985,2019-10-17
